time	wsp	wdir
0:13:52	6.30	338
0:13:55	6.30	338
0:13:58	6.30	338
0:14:1	6.30	338
0:14:4	7.20	339
0:14:7	6.30	338
0:14:10	6.30	338
0:14:13	6.30	338
0:14:16	6.30	338
0:14:19	6.30	338
0:14:22	6.30	338
0:14:25	6.30	338
0:14:28	6.30	338
0:14:31	6.30	338
0:14:34	6.30	338
0:14:37	6.30	339
0:14:40	6.30	338
0:14:43	6.30	338
0:14:46	6.30	338
0:14:49	6.30	338
0:14:52	6.30	338
0:14:55	6.30	338
0:14:58	6.30	338
0:15:1	6.30	338
0:15:4	6.30	338
0:15:7	6.30	338
0:15:10	7.20	338
0:15:13	6.30	338
0:15:16	6.30	338
0:15:19	6.30	338
